,inspection_id,negative_0,negative_1,negative_2,negative_3,negative_4,negative_5,negative_6,negative_7,negative_8,negative_9,negative_10,negative_11,negative_12,negative_13,negative_14,negative_15,negative_16,negative_17,negative_18,negative_19,positive_0,positive_1,positive_2,positive_3,positive_4,positive_5,positive_6,positive_7,positive_8,positive_9,positive_10,positive_11,positive_12,positive_13,positive_14,positive_15,positive_16,positive_17,positive_18,positive_19
1392,DA1763174,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1393,DA1763624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394,DA1764196,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
1395,DA1764448,0.0,0.0,0.1538,0.2308,0.0,0.0769,0.0,0.1538,0.0769,0.0,0.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2308,0.0,0.0,0.0,0.6923,0.0,0.0,0.0
1396,DA1764449,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.2222,0.1111,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.3333,0.0,0.0,0.0
1397,DA1764456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1398,DA1764462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0
1399,DA1764488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,DA1764489,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,0.0909,0.0909,0.0,0.1818,0.0,0.3636,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0909,0.3636,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0909,0.0909,0.1818,0.0,0.0909,0.0,0.0,0.0
1401,DA1764491,0.0,0.0,0.2174,0.0435,0.0435,0.1304,0.1304,0.087,0.0435,0.0435,0.0,0.0,0.1304,0.0,0.087,0.0,0.0,0.0435,0.0,0.0,0.0435,0.1304,0.0435,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0,0.087,0.4348,0.1739,0.0,0.0,0.0,0.0435,0.0
1402,DA1764572,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
1403,DA1764609,0.0,0.0,0.1429,0.0,0.0,0.4286,0.0,0.2857,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.1429,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.2857,0.0,0.0,0.0
1404,DA1764615,0.0435,0.0435,0.0435,0.0,0.087,0.1739,0.0,0.0435,0.087,0.0,0.087,0.0,0.2609,0.0,0.1304,0.0,0.0,0.0,0.0,0.0,0.0435,0.087,0.3043,0.0435,0.0,0.0,0.0,0.0435,0.0435,0.0435,0.0,0.2174,0.087,0.0435,0.0,0.0,0.0,0.0,0.0435,0.0
1405,DA1764616,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1406,DA1764623,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.3333,0.0,0.0,0.4167,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0833,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0833,0.0,0.3333,0.0,0.0,0.0
